sku_id,quantity,department,subdepartment,store_id,sku_name,sku_description,upc_id
10000200,0,Produce,Vegetables ,1,Alfalfa Sprouts,"Young alfalfa plants, harvested just as they begin to develop leaves.",100000000201
10000201,0,Produce,Vegetables ,1,Artichoke,"Large, thistle-like vegetable with edible flower buds and a tender heart.",100000000202
10000202,0,Produce,Vegetables ,1,Artichoke Heart,"The tender, innermost part of the artichoke, prized for its mild flavor.",100000000203
10000203,0,Produce,Vegetables ,1,Arugula,"Peppery-flavored leafy green, commonly used in salads and sandwiches.",100000000204
10000204,0,Produce,Vegetables ,1,Asparagus,"Nutrient-rich, spring vegetable with tender spears and a mild, earthy flavor.",100000000205
10000205,0,Produce,Vegetables ,1,Asparagus Pea,"Small, pea-sized pods with a taste reminiscent of asparagus, often used in salads.",100000000206
10000206,0,Produce,Vegetables ,1,Aubergine,"Eggplant, a versatile vegetable with a glossy, purple skin and spongy texture.",100000000207
10000207,0,Produce,Vegetables ,1,Avocado,"Creamy-textured fruit with a buttery taste, commonly used in salads and dips.",100000000208
10000208,0,Produce,Vegetables ,1,Bamboo Shoots,"Edible shoots of bamboo plants, often used in Asian cuisine.",100000000209
10000209,0,Produce,Vegetables ,1,Bean Sprouts,"Germinated beans, typically mung beans or soybeans, used in salads and stir-fries.",100000000210
10000210,0,Produce,Vegetables ,1,Beet Greens,"Leafy green tops of beets, rich in nutrients and often cooked or used in salads.",100000000211
10000211,0,Produce,Vegetables ,1,Beets,"Root vegetable with a sweet and earthy flavor, available in various colors.",100000000212
10000212,0,Produce,Vegetables ,1,Bell Pepper,"Sweet, colorful peppers with a mild flavor, used in a variety of dishes.",100000000213
10000213,0,Produce,Vegetables ,1,Bitter Gourd,"Bitter and textured vegetable, popular in some Asian cuisines for its health benefits.",100000000214
10000214,0,Produce,Vegetables ,1,Black Radish,"Variety of radish with a dark skin and pungent flavor, often eaten raw or cooked.",100000000215
10000215,0,Produce,Vegetables ,1,Bok Choy,"Type of Chinese cabbage with white stems and dark green leaves, used in stir-fries.",100000000216
10000216,0,Produce,Vegetables ,1,Borage,"Edible herb with bright blue flowers, leaves used in salads for a mild cucumber flavor.",100000000217
10000217,0,Produce,Vegetables ,1,Broccoli,"Nutrient-rich vegetable with florets and stalks, often steamed or stir-fried.",100000000218
10000218,0,Produce,Vegetables ,1,Brussels Sprouts,"Small, cabbage-like vegetables that grow on stalks, popular in savory dishes.",100000000219
10000219,0,Produce,Vegetables ,1,Burdock,"Root vegetable with a mild, earthy flavor, often used in Asian cuisine.",100000000220
10000220,0,Produce,Vegetables ,1,Butterhead Lettuce,"Variety of lettuce with soft leaves, forming a loose head.",100000000221
10000221,0,Produce,Vegetables ,1,Butternut Squash,"Sweet and nutty-flavored winter squash with a smooth, beige skin.",100000000222
10000222,0,Produce,Vegetables ,1,Cabbage,"Leafy green or purple vegetable with tightly packed leaves, used in various dishes.",100000000223
10000223,0,Produce,Vegetables ,1,Cabbage Palm,"Edible inner core of certain palm trees, commonly used in salads.",100000000224
10000224,0,Produce,Vegetables ,1,Cactus,"Edible parts of certain cactus plants, used in salads, stews, or as a vegetable side.",100000000225
10000225,0,Produce,Vegetables ,1,Cardoon,"Closely related to artichoke, cardoon is a thistle-like plant with edible stalks.",100000000226
10000226,0,Produce,Vegetables ,1,Carob,"Pods from the carob tree, used as a cocoa substitute in some cuisines.",100000000227
10000227,0,Produce,Vegetables ,1,Carrot,"Root vegetable with a sweet and crunchy taste, available in various colors.",100000000228
10000228,0,Produce,Vegetables ,1,Carrot Tops,"Leafy green tops of carrots, sometimes used in salads or as a garnish.",100000000229
10000229,0,Produce,Vegetables ,1,Cassava,"Starchy root vegetable, a dietary staple in many tropical countries.",100000000230
10000230,0,Produce,Vegetables ,1,Cauliflower,"Versatile cruciferous vegetable with a mild flavor, used in various dishes.",100000000231
10000231,0,Produce,Vegetables ,1,Celery,"Crunchy, green vegetable with long stalks and a mild, savory flavor.",100000000232
10000232,0,Produce,Vegetables ,1,Celtuce,"Type of lettuce grown for its thick stems, which are often peeled and eaten raw or cooked.",100000000233
10000233,0,Produce,Vegetables ,1,Chard,"Leafy green vegetable with colorful stems, often used in salads or sautéed.",100000000234
10000234,0,Produce,Vegetables ,1,Chayote,"Pear-shaped vegetable with a mild flavor, often cooked or used in salads.",100000000235
10000235,0,Produce,Vegetables ,1,Cherry Tomato,"Small, sweet tomatoes typically eaten raw in salads or as snacks.",100000000236
10000236,0,Produce,Vegetables ,1,Chervil,"Herb with delicate leaves, often used to add a subtle anise-like flavor to dishes.",100000000237
10000237,0,Produce,Vegetables ,1,Chickpea,"Nutty-flavored legume, commonly used in various dishes, including hummus.",100000000238
